section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769264909967,800.512,468.834,1.0,48,,-1.762296665920761,8.297776261225255
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769267959967,818.493,458.19,1.0,48,,-0.5928911770760794,8.986762455871583
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769274291967,816.096,449.212,1.0,48,,-0.7496684489657013,9.566304200668199
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769280535967,834.457,460.649,1.0,48,,0.4469172672303776,8.828313279850576
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769283609967,828.901,448.332,1.0,48,,0.08539236250057,9.623672115606817
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769290386967,808.068,458.136,1.0,48,,-1.2719738137073973,8.989441677890287
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769293324967,814.508,439.181,1.0,48,,-0.8540882803557985,10.21374166259466
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769299214967,810.948,426.598,1.0,48,,-1.0880191873832312,11.025462811189781
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769305779967,810.303,438.34,1.0,48,,-1.1286979064035887,10.267589034661041
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769308597967,834.711,435.046,1.0,48,,0.46542932130294246,10.481336623962935
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769314923967,828.651,431.552,1.0,,,0.06963663912614702,10.706824688077708
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769318032967,835.927,445.853,1.0,,,0.5438848068288054,9.783651393936466
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769324866967,825.478,445.14,1.0,,,-0.13783743385167893,9.82965683685956
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769330509967,814.547,463.414,1.0,,,-0.8495378723175261,8.64918839078986
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769333849967,809.379,458.246,1.0,49,,-1.1865634347421823,8.98243450387012
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769339870967,805.398,461.641,1.0,49,,-1.4454090241226378,8.76282539238567
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769342956967,799.909,442.435,1.0,49,,-1.806514867179159,10.001946086561988
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769349395967,802.907,436.215,1.0,49,,-1.6119983156373827,10.403826958955788
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769355513967,813.884,440.045,1.0,49,,-0.8947338573121869,10.157886317234812
