gazeX,gazeY
365.4337,686.3318
367.8443,683.5007
361.4994,680.0029
361.2904,686.1439
361.6378,678.3655
366.8869,682.3214
364.7091,684.1253
364.9832,682.5654
365.5096,680.9109
363.013,681.8254
363.4079,684.8169
361.9534,684.6182
368.2692,682.6568
364.1529,684.5777
367.7261,678.7002
368.9715,682.7355
363.4212,687.6348
363.6193,681.0514
363.0228,678.6426
367.8897,680.0885
366.7702,682.135
368.4484,681.3726
364.3463,678.5791
367.4389,683.0528
366.6881,674.5555
367.2034,680.696
364.699,682.058
365.5789,681.1074
368.256,683.9432
364.1884,678.7578
366.7023,677.2905
364.4664,682.8725
363.2351,685.7935
364.169,683.1709
367.8619,680.2113
369.766,678.555
369.1927,680.6373
366.1609,682.5453
367.846,680.1838
368.8794,683.4482
365.6858,684.0477
362.9795,681.2046
362.6211,679.7123
365.3905,681.8952
358.0719,685.9661
341.5145,685.8285
313.3782,690.4881
286.9496,692.541
257.0278,694.314
244.8188,697.4235
240.0349,694.4226
245.84,694.7952
254.8017,704.0744
255.138,698.7826
258.5925,702.1137
257.1654,698.6225
255.2809,696.8146
256.8362,695.0526
252.3704,694.9287
251.3726,693.1624
255.5187,697.3453
251.1538,701.3281
254.0887,701.7761
257.7907,698.2185
252.4267,696.658
248.78,693.1972
253.1894,695.9558
253.0824,701.5533
247.2486,699.437
255.6851,695.7695
250.9067,699.1044
248.0057,695.2021
251.1941,699.4015
249.012,696.1031
249.7061,696.945
252.6879,701.8802
249.4698,696.8603
251.1939,703.8836
255.7238,695.8781
250.1187,699.528
255.8335,696.8511
249.4902,699.534
250.3864,702.8536
252.9673,699.2796
250.1135,698.6833
249.6564,701.9415
249.2533,699.4326
250.4749,700.0967
252.4254,700.9229
248.4956,697.4513
253.6441,701.1303
251.9581,698.5992
253.5335,696.1793
254.8606,700.6549
249.8241,697.792
251.5912,699.518
252.5192,698.9899
250.8741,698.8487
254.5205,700.6394
250.4021,701.0149
257.4831,700.0022
253.5028,699.5052
252.5078,697.2726
254.3282,700.0805
249.7345,697.375
259.1842,698.0687
251.8282,698.2184
253.5035,697.0971
250.7255,697.0367
252.6313,701.5563
253.5142,702.2133
253.7529,699.5638
247.9619,699.9748
257.455,698.03
258.4085,697.8451
254.9838,700.8363
253.4612,695.4705
255.4482,700.1237
257.0181,702.8609
253.7413,701.3344
250.3052,699.8984
252.8572,701.0079
256.5368,696.213
256.5852,703.6735
250.027,698.1133
251.6036,701.6796
252.0593,696.988
257.3586,699.8114
250.7907,697.1344
255.0327,699.0356
252.6317,701.4937
249.8237,699.9786
253.8117,700.3732
254.3672,702.5405
250.7424,699.944
253.4676,700.3894
252.6833,701.5848
253.087,699.9675
250.105,702.0919
249.3915,701.6822
247.7701,703.3173
247.3722,701.2472
250.139,698.1016
246.2592,697.9495
252.5865,697.2965
251.2927,698.2399
249.5913,699.4425
249.639,702.0261
251.1382,701.3615
248.6114,704.786
253.434,701.0812
248.8481,697.2587
251.8876,698.6672
249.6863,696.0528
252.924,698.0022
252.1259,698.664
248.9584,700.9263
244.821,698.9664
249.2258,699.9212
246.0728,704.0007
250.0634,702.1702
252.2364,698.814
247.8209,699.2297
252.2636,699.3938
247.3685,697.5538
246.6177,702.1092
247.8656,696.9794
251.5582,703.8642
250.4286,702.7497
246.1517,699.2143
245.8748,701.995
250.0772,700.0398
241.6117,688.2316
237.5421,664.2153
229.5516,628.2259
231.7425,561.4603
238.7706,517.9417
259.4977,480.207
271.9311,443.2616
279.7843,414.7734
284.1272,389.3994
287.4311,351.6593
297.9032,317.4156
303.4092,277.8479
305.4087,246.2276
310.8485,228.324
315.7267,215.7428
321.0505,211.6458
320.9018,209.9522
322.4774,225.847
319.5918,228.2292
320.0367,232.3162
317.4824,220.9663
320.4024,216.1345
324.5364,219.9263
320.4454,218.3126
326.6308,221.0059
323.0453,212.7958
326.5361,214.631
324.5138,216.1877
325.9637,220.3377
321.6245,217.9666
331.0329,217.706
326.8246,216.3297
325.9677,219.5524
328.153,218.8896
329.1333,222.2178
324.684,219.1867
321.6307,211.5218
329.1739,224.0535
322.7864,217.7904
328.9185,215.292
328.8664,216.4173
323.4024,216.8237
325.3826,218.9933
326.1059,213.1671
324.6299,210.0069
325.7079,217.0685
325.901,216.4639
330.3977,216.4985
323.958,213.9846
327.2413,219.2946
328.3517,214.4199
324.4557,213.0394
330.9195,220.2834
329.7972,219.7078
326.0367,217.2318
326.6027,211.5553
327.0663,210.5523
328.6898,212.2022
324.6619,216.2014
326.0241,213.0429
327.1134,212.6479
326.8165,214.2787
327.6165,213.9663
325.0861,209.9056
324.9005,212.6789
325.9461,211.5479
326.0342,223.1151
327.4048,215.5089
326.2931,215.7502
319.8534,211.7736
324.7868,220.5118
324.8641,218.7
320.4791,205.7881
330.6732,178.3325
324.6814,148.4021
324.0105,121.7596
321.0731,107.821
329.41,104.1775
334.6321,99.51832
334.55,90.71542
333.1525,91.12762
327.28,91.99886
327.6212,92.24647
331.7909,98.06593
330.3579,103.3098
329.7921,102.2469
328.4236,97.2681
330.1151,103.7241
330.7157,95.89007
331.5466,96.213
331.8826,98.65243
332.0719,97.15282
323.8862,97.51462
335.7936,99.4293
332.1323,96.83474
334.545,98.20615
329.0154,103.4303
336.2521,95.34694
330.6356,96.07452
335.0814,99.66769
327.7949,90.72728
334.5512,102.3839
332.0547,97.04576
330.4651,93.58582
334.0966,91.30065
330.836,92.80866
335.9285,100.1203
334.6825,93.8717
332.8971,93.72346
333.3268,97.22561
333.8464,102.0931
334.7628,92.15641
334.1821,91.23347
329.2644,71.32336
329.6704,62.85817
332.87,55.9963
336.6106,57.35811
336.8718,60.1101
336.2323,66.76666
330.4955,71.27259
333.5595,68.27828
331.0568,72.25771
334.5984,68.2094
333.5275,67.45937
333.1863,63.63377
330.9617,68.09484
334.1122,64.89985
332.8802,68.1406
329.8557,66.10039
332.7088,67.05399
335.2808,66.84803
330.3179,68.40594
328.1189,66.28966
328.9183,65.66905
330.1387,65.71141
329.7918,63.95496
331.4083,67.05044
329.9024,63.37874
329.2625,63.10771
329.0106,66.4812
330.6262,63.79473
328.9175,67.5401
329.4784,62.22075
327.7532,66.70242
331.1107,67.79659
332.7506,68.81702
329.5092,64.99577
326.6967,68.52648
326.6647,66.60669
326.8719,63.35625
333.8664,64.28565
327.0817,64.96345
329.0434,67.66996
332.3884,62.60383
329.4391,66.12774
330.9053,66.29352
328.5136,67.06639
328.8704,68.06551
330.1638,65.61197
328.6956,62.82785
327.1669,61.60621
323.9762,64.30953
331.72,61.73755
332.8444,63.26203
331.9912,66.48389
330.0896,64.05276
328.3506,65.39605
330.5772,65.70611
329.0831,65.15957
330.4056,65.21694
328.328,65.86702
329.8428,70.4413
330.5486,66.26199
332.4515,63.07028
330.4844,61.17938
332.6475,61.92564
332.858,62.71571
337.9785,64.5828
335.0601,63.22751
337.2959,64.30778
347.455,65.90383
362.302,62.3057
373.2078,57.13125
374.4278,55.43707
377.6838,55.13638
371.1518,54.78056
372.9913,54.53272
372.6743,55.48941
372.1501,58.56379
371.8676,55.53399
367.8623,56.88131
374.2736,57.5674
373.1987,52.80301
376.8896,53.48107
374.7054,57.26266
375.6642,59.24067
374.5599,60.14619
376.8323,51.49758
378.9801,54.92342
374.0124,53.51575
371.6883,56.71487
376.3194,53.67659
378.1503,55.83185
377.6257,52.82822
377.1778,58.49474
379.6157,60.3111
376.9046,56.30122
378.6133,58.77282
376.4637,60.55511
378.7694,54.91083
377.1859,56.5279
380.1507,57.60412
374.5288,54.95366
374.9798,54.7654
376.1974,57.08209
377.1896,61.11966
374.755,53.17781
380.044,59.7156
377.1019,56.25853
378.8027,61.72134
380.3893,54.0986
378.6445,61.35731
376.214,63.32833
377.6982,66.26507
380.6783,78.58222
392.048,117.2112
400.9664,130.8439
405.4041,155.7504
404.0668,167.2993
409.1555,178.6411
411.0303,178.7636
408.9155,181.0836
412.072,174.3894
407.862,164.1193
413.8503,170.2604
413.621,164.7873
410.7599,171.5713
412.5983,172.0201
415.5871,174.3221
417.7605,171.9523
413.9149,175.8733
417.4166,180.2385
418.9714,179.1531
409.738,175.7369
406.381,173.4262
411.314,179.4829
413.7437,174.8208
412.2466,178.8166
413.4459,181.413
417.408,180.2397
413.0453,179.1625
410.1312,175.5353
413.025,175.4332
412.0527,173.3273
413.9691,181.3626
411.7448,172.4319
417.0218,181.0168
410.3652,178.7607
413.1536,174.1473
411.7479,176.511
416.8111,178.2414
416.5349,176.7534
408.8969,173.8196
409.9906,180.9055
409.166,168.7923
416.0963,180.7928
