gaze_ts,worldFrame,confidence,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,mapped,number_matches
1703060766861.9258,240.0,1.0,312.47999999999996,181.69275000000002,466.49,291.771,1.0,162.0
1703060766868.051,240.0,1.0,311.15324999999996,182.08724999999998,465.338,291.849,1.0,162.0
1703060766871.1921,240.0,1.0,310.17825000000005,183.63375000000002,464.492,292.816,1.0,162.0
1703060766877.4128,240.0,1.0,316.0245,184.14974999999998,469.57,294.104,1.0,162.0
1703060766880.694,240.0,1.0,310.636125,182.685,464.89,292.201,1.0,162.0
1703060766886.929,240.0,1.0,314.17724999999996,179.689125,467.968,290.583,1.0,162.0
1703060766892.978,240.0,1.0,315.33975,182.466375,468.976,292.777,1.0,162.0
1703060766896.898,240.0,1.0,325.44037499999996,183.54975000000002,477.804,295.152,1.0,162.0
1703060766902.4048,240.0,1.0,316.943625,182.011875,470.374,292.699,1.0,162.0
1703060766905.4568,240.0,1.0,318.597,183.30675,471.814,293.897,1.0,162.0
1703060766911.733,240.0,1.0,308.268375,185.66250000000002,462.839,293.982,1.0,162.0
1703060766918.022,240.0,1.0,321.304875,185.188875,474.175,295.688,1.0,162.0
1703060766921.142,240.0,1.0,329.26762500000007,186.29062499999998,481.157,297.751,1.0,162.0
1703060766927.384,240.0,1.0,323.455875,185.70487500000002,476.056,296.402,1.0,162.0
1703060766930.51,240.0,1.0,319.153125,192.36712500000002,472.279,300.539,1.0,162.0
1703060766936.728,240.0,1.0,320.49,183.505875,473.467,294.339,1.0,162.0
1703060766943.019,240.0,1.0,315.010125,181.16774999999998,468.691,291.785,1.0,162.0
1703060766946.078,240.0,1.0,319.71675,178.36350000000002,472.804,290.483,1.0,162.0
1703060766952.488,240.0,1.0,336.04387499999996,180.087375,487.177,294.307,1.0,162.0
1703060766955.647,240.0,1.0,328.66724999999997,182.451,480.645,294.863,1.0,162.0
1703060766961.8198,240.0,1.0,323.78249999999997,183.493125,476.349,294.849,1.0,162.0
1703060766968.021,240.0,1.0,321.391125,184.0635,474.254,294.885,1.0,162.0
1703060766971.146,240.0,1.0,324.85425,180.40537500000002,477.3,292.772,1.0,162.0
1703060766978.1372,242.0,1.0,316.42537500000003,181.62562499999999,457.737,289.852,1.0,145.0
1703060766980.492,242.0,1.0,323.18325000000004,187.6245,463.737,295.159,1.0,145.0
1703060766986.785,242.0,1.0,332.508375,181.34925,471.853,292.18,1.0,145.0
1703060766993.324,242.0,1.0,321.571125,181.908375,462.223,290.854,1.0,145.0
1703060766996.105,242.0,1.0,314.967,179.781,456.436,288.322,1.0,145.0
1703060767002.4038,242.0,1.0,315.556125,179.8335,456.947,288.45,1.0,145.0
1703060767005.4448,242.0,1.0,320.93175,186.47400000000002,461.749,293.987,1.0,145.0
1703060767011.7698,242.0,1.0,330.787125,184.858125,470.381,294.411,1.0,145.0
1703060767017.993,242.0,1.0,325.72125,181.04062499999998,465.846,290.888,1.0,145.0
1703060767021.098,242.0,1.0,318.132,181.045875,459.208,289.707,1.0,145.0
1703060767027.52,242.0,1.0,316.522125,184.075125,457.869,291.598,1.0,145.0
1703060767030.502,242.0,1.0,319.0455,182.385375,460.029,290.798,1.0,145.0
1703060767036.75,242.0,1.0,315.936375,182.03475,457.321,290.066,1.0,145.0
1703060767043.002,242.0,1.0,322.339125,183.333,462.92,291.985,1.0,145.0
1703060767046.119,242.0,1.0,325.26525000000004,182.97075,465.479,292.189,1.0,145.0
1703060767052.5798,242.0,1.0,318.9585,185.091,460.005,292.698,1.0,145.0
1703060767055.497,242.0,1.0,326.29575,184.07475,466.404,293.137,1.0,145.0
1703060767062.174,242.0,1.0,326.13675,189.3435,466.355,296.85,1.0,145.0
1703060767068.213,242.0,1.0,329.55637500000006,186.733125,469.323,295.548,1.0,145.0
1703060767071.1729,242.0,1.0,326.062875,189.363,466.29,296.852,1.0,145.0
1703060767077.4768,242.0,1.0,325.857375,185.286375,466.04,293.928,1.0,145.0
1703060767080.7717,242.0,1.0,323.77612500000004,184.483125,464.199,293.028,1.0,145.0
1703060767086.677,242.0,1.0,325.943625,183.910875,466.092,292.965,1.0,145.0
1703060767093.2659,242.0,1.0,322.716,183.98212500000002,463.262,292.505,1.0,145.0
1703060767096.0918,242.0,1.0,317.4225,183.76275,458.644,291.518,1.0,145.0
1703060767102.339,242.0,1.0,326.99100000000004,187.27275,467.07,295.519,1.0,145.0
1703060767105.663,242.0,1.0,319.036875,186.87225,460.107,293.969,1.0,145.0
1703060767111.8337,242.0,1.0,318.64425,189.48525,459.816,295.749,1.0,145.0
1703060767118.117,242.0,1.0,331.137375,189.0855,470.758,297.475,1.0,145.0
1703060767121.133,242.0,1.0,315.22575,186.0915,456.787,292.817,1.0,145.0
1703060767127.328,242.0,1.0,316.23150000000004,185.628375,457.649,292.649,1.0,145.0
1703060767130.575,242.0,1.0,308.6325,182.86350000000002,451.044,289.521,1.0,145.0
1703060767136.8699,242.0,1.0,316.279875,186.84525000000002,457.715,293.514,1.0,145.0
1703060767143.03,242.0,1.0,320.311125,186.880125,461.216,294.176,1.0,145.0
1703060767146.0947,242.0,1.0,326.73224999999996,184.62675000000002,466.798,293.599,1.0,145.0
1703060767152.544,242.0,1.0,327.883875,183.61124999999998,467.795,293.06,1.0,145.0
1703060767156.01,242.0,1.0,330.5685,183.67649999999998,470.169,293.533,1.0,145.0
1703060767161.824,242.0,1.0,326.50275,182.587125,466.561,292.112,1.0,145.0
1703060767171.288,242.0,1.0,328.678875,186.86062500000003,468.55,295.497,1.0,145.0
1703060767171.487,242.0,1.0,331.64475,187.69762500000002,471.185,296.571,1.0,145.0
1703060767177.3699,244.0,1.0,327.657375,188.302875,451.689,289.319,1.0,146.0
1703060767180.762,244.0,1.0,334.0245,189.753375,457.256,291.07,1.0,146.0
1703060767186.794,244.0,1.0,331.37399999999997,193.09687499999998,454.992,293.209,1.0,146.0
1703060767192.9958,244.0,1.0,324.565125,193.08599999999998,449.085,292.445,1.0,146.0
1703060767196.0771,244.0,1.0,323.29312500000003,191.6175,447.965,291.243,1.0,146.0
1703060767202.422,244.0,1.0,317.366625,198.0135,442.973,295.203,1.0,146.0
1703060767208.6301,244.0,1.0,328.495125,191.592375,452.466,291.797,1.0,146.0
1703060767211.9849,244.0,1.0,324.31687500000004,195.338625,448.905,294.048,1.0,146.0
1703060767217.987,244.0,1.0,326.023125,194.613,450.369,293.713,1.0,146.0
1703060767221.616,244.0,1.0,317.41200000000003,194.819625,442.963,292.907,1.0,146.0
1703060767227.404,244.0,1.0,311.416125,183.03,437.671,283.785,1.0,146.0
1703060767233.6357,244.0,1.0,323.70675,178.32750000000001,448.119,281.67,1.0,146.0
1703060767236.7397,244.0,1.0,322.504125,186.47437499999998,447.207,287.438,1.0,146.0
1703060767243.0889,244.0,1.0,323.398875,183.62512499999997,447.934,285.472,1.0,146.0
1703060767246.207,244.0,1.0,314.26912500000003,185.738625,440.139,286.031,1.0,146.0
1703060767252.429,244.0,1.0,313.28212499999995,189.74362499999998,439.361,288.806,1.0,146.0
1703060767258.633,244.0,1.0,313.96575,190.692375,439.957,289.561,1.0,146.0
1703060767262.056,244.0,1.0,318.759375,189.6825,444.038,289.352,1.0,146.0
1703060767268.125,244.0,1.0,323.32349999999997,191.766375,447.994,291.354,1.0,146.0
1703060767271.1392,244.0,1.0,312.54712499999994,189.829125,438.737,288.788,1.0,146.0
1703060767277.384,244.0,1.0,320.89012499999995,192.89249999999998,445.916,291.9,1.0,146.0
1703060767283.6611,244.0,1.0,316.50149999999996,192.56550000000001,442.15,291.184,1.0,146.0
1703060767287.7798,244.0,1.0,321.098625,192.95399999999998,446.096,291.968,1.0,146.0
1703060767294.478,244.0,1.0,322.1355,191.42137499999998,446.965,290.974,1.0,146.0
1703060767296.1091,244.0,1.0,318.21037500000006,187.761375,443.538,287.907,1.0,146.0
1703060767302.37,244.0,1.0,315.44175,188.984625,441.19,288.492,1.0,146.0
1703060767308.65,244.0,1.0,317.01525,190.61175,442.559,289.833,1.0,146.0
1703060767311.75,244.0,1.0,322.0005,190.283625,446.831,290.137,1.0,146.0
1703060767318.017,244.0,1.0,311.77762500000006,183.103875,437.979,283.876,1.0,146.0
1703060767321.155,244.0,1.0,317.28299999999996,184.52662500000002,442.694,285.477,1.0,146.0
1703060767327.7268,244.0,1.0,328.93237500000004,197.875125,452.941,296.405,1.0,146.0
1703060767333.781,244.0,1.0,323.761875,189.156375,448.332,289.514,1.0,146.0
1703060767336.715,244.0,1.0,326.920125,187.70325,451.041,288.804,1.0,146.0
1703060767343.01,244.0,1.0,320.27025,184.615125,445.257,285.856,1.0,146.0
1703060767346.504,244.0,1.0,326.842125,191.470125,451.03,291.526,1.0,146.0
1703060767352.7349,244.0,1.0,329.089125,193.4385,453.009,293.203,1.0,146.0
1703060767358.637,244.0,1.0,332.116125,196.165125,455.686,295.524,1.0,146.0
1703060767362.106,244.0,1.0,331.705875,196.72875000000002,455.336,295.887,1.0,146.0
1703060767368.0159,244.0,1.0,323.79037500000004,195.6105,448.455,294.186,1.0,146.0
1703060767371.119,244.0,1.0,322.76175,191.47125,447.505,291.079,1.0,146.0
1703060767377.375,246.0,1.0,313.548375,186.466125,417.401,281.478,1.0,144.0
1703060767384.013,246.0,1.0,309.410625,189.078,413.975,282.881,1.0,144.0
1703060767386.6912,246.0,1.0,319.10100000000006,188.31375,422.023,283.205,1.0,144.0
1703060767392.9878,246.0,1.0,313.27012499999995,187.99237499999998,417.168,282.483,1.0,144.0
1703060767396.0562,246.0,1.0,307.42575,184.096125,412.357,279.369,1.0,144.0
1703060767402.3628,246.0,1.0,312.34275,184.665375,416.406,280.163,1.0,144.0
1703060767408.647,246.0,1.0,306.39824999999996,180.685875,411.525,277.003,1.0,144.0
1703060767412.121,246.0,1.0,306.83625,184.26525,411.873,279.433,1.0,144.0
1703060767418.013,246.0,1.0,296.965875,182.231625,403.852,277.267,1.0,144.0
1703060767421.134,246.0,1.0,295.93537499999996,183.79725,403.013,278.222,1.0,144.0
1703060767427.451,246.0,1.0,303.809625,192.04500000000002,409.369,284.387,1.0,144.0
1703060767433.623,246.0,1.0,303.49350000000004,187.375125,409.128,281.233,1.0,144.0
1703060767436.785,246.0,1.0,302.85112499999997,185.654625,408.61,280.03,1.0,144.0
1703060767443.127,246.0,1.0,298.0515,185.37,404.714,279.441,1.0,144.0
1703060767446.124,246.0,1.0,297.859125,182.10112500000002,404.574,277.253,1.0,144.0
1703060767452.4192,246.0,1.0,300.89512499999995,183.40987500000003,407.028,278.371,1.0,144.0
1703060767458.686,246.0,1.0,301.40625,182.562,407.446,277.848,1.0,144.0
1703060767461.802,246.0,1.0,298.909125,182.671125,405.42,277.717,1.0,144.0
1703060767468.137,246.0,1.0,294.546375,183.67875,401.895,278.03,1.0,144.0
1703060767471.2798,246.0,1.0,301.313625,181.80825,407.374,277.338,1.0,144.0
1703060767477.3582,246.0,1.0,297.484125,187.05599999999998,404.247,280.515,1.0,144.0
1703060767483.655,246.0,1.0,298.09425,181.279875,404.767,276.726,1.0,144.0
1703060767486.742,246.0,1.0,297.067125,187.58137499999998,403.907,280.83,1.0,144.0
1703060767493.012,246.0,1.0,291.69525000000004,187.407375,399.584,280.266,1.0,144.0
